"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "JSON with Comments", "Markdown", "CSS", "comment", "blank", "total"
"/Users/kennethchap/Documents/GitHub/fish/services/pusher/server.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/kennethchap/Documents/GitHub/fish/services/pusher/types.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/ReactQueryHydrate.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/ReactQueryProvider.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/auth/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/auth/signOut.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player-room/addPlayerToRoom.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 7, 8, 55
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player-room/deletePlayerFromRoom.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 7, 6, 45
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player-room/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player-room/sendInvite.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 6, 8, 46
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player-room/updateRoomStatus.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 4, 5, 36
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/addInvite.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 7, 6, 41
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/createPlayer.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/deleteMail.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 6, 11, 50
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/sendMail.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 7, 8, 50
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/player/updateCurrentRoomId.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/calculateWinner.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 3, 8, 40
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/createSentenceSymphony.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/deleteSentenceSymphony.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/forceSubmissions.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 1, 9, 56
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/startNewRound.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 5, 10, 69
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/submitSentence.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 1, 7, 46
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/mutations/sentence-symphony/updateVote.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 1, 7, 55
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/player-room/getPlayerRoom.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/player-room/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/player/getPlayer.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/player/getPlayerByUsername.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/player/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/sentence-symphony/getSentenceSymphony.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/kennethchap/Documents/GitHub/fish/services/react-query/queries/sentence-symphony/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/kennethchap/Documents/GitHub/fish/tailwind.config.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 8, 99
"/Users/kennethchap/Documents/GitHub/fish/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"/Users/kennethchap/Documents/GitHub/fish/types/AnimalSprites.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/kennethchap/Documents/GitHub/fish/types/CustomErrors.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/kennethchap/Documents/GitHub/fish/types/GameRoomType.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kennethchap/Documents/GitHub/fish/types/PlayerRoomStatus.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/kennethchap/Documents/GitHub/fish/types/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 2926, 4080, 14, 5885, 29, 44, 9, 783, 1260, 15030
